lmd,baseline,corLDMmRT,corLDMmRT_CI_lower,corLDMmRT_CI_upper,corLDM_congruent,coef,p_value,BIC
cos_subtitles_skipgram_100_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.305,0.13,0.473,-0.000961734236998293,369.78,0.004,1177.5
cos_subtitles_skipgram_100_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.489,0.313,0.638,-0.185635646826767,554.16,0,1166.7
cos_subtitles_skipgram_100_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.441,0.289,0.58,-0.0827421258042707,523.67,0,1171.8
cos_subtitles_skipgram_100_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.515,0.359,0.65,-0.176462274174133,601.71,0,1164.8
cos_subtitles_skipgram_200_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.267,0.087,0.422,-0.00198620450892672,359.17,0.012,1179.9
cos_subtitles_skipgram_200_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.396,0.226,0.532,-0.0803594901559258,473.43,0.001,1173.6
cos_subtitles_skipgram_200_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.335,0.14,0.503,-0.0759898734257951,460.42,0.002,1176.6
cos_subtitles_skipgram_200_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.446,0.285,0.587,-0.133462972654365,588.28,0,1168.4
cos_subtitles_skipgram_300_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.298,0.104,0.455,-0.0544269907961985,554.23,0.001,1175.7
cos_subtitles_skipgram_300_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.432,0.28,0.579,-0.11074317921963,602.94,0,1170
cos_subtitles_skipgram_300_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.248,0.08,0.405,-0.0118300743395036,565.11,0.002,1176.4
cos_subtitles_skipgram_300_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.392,0.208,0.56,-0.0732537171134284,592.39,0,1171.2
cos_subtitles_skipgram_50_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.281,0.095,0.482,0.00271103353625865,323.53,0.009,1179.3
cos_subtitles_skipgram_50_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.5,0.349,0.629,-0.167197173490607,490.32,0,1166.4
cos_subtitles_skipgram_50_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.513,0.363,0.631,-0.144508561264738,598.86,0,1161.6
cos_subtitles_skipgram_50_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.512,0.368,0.644,-0.127862432089705,502.27,0,1165.4
cos_subtitles_skipgram_500_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.206,0.023,0.384,-0.00985626871549936,426.78,0.041,1182.1
cos_subtitles_skipgram_500_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.265,0.09,0.434,0.00590955911826392,516.09,0.005,1178
cos_subtitles_skipgram_500_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.378,0.21,0.516,-0.104044043831503,692.4,0,1171.6
cos_subtitles_skipgram_500_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.321,0.167,0.461,-0.0564068966139529,620.68,0,1173
euc_subtitles_cbow_100_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.292,0.123,0.468,0.0130785120479138,35.31,0.006,1178.5
euc_subtitles_cbow_100_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.597,0.45,0.703,-0.104346071457455,20.69,0,1153.8
euc_subtitles_cbow_100_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.444,0.259,0.6,-0.0361358222744453,25.99,0,1170.6
euc_subtitles_cbow_100_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.537,0.409,0.664,-0.0641225080675267,24.2,0,1163.2
euc_subtitles_cbow_200_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.298,0.13,0.432,0.00882980853282858,34.38,0.008,1179.2
euc_subtitles_cbow_200_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.536,0.375,0.647,-0.0798802564087449,18.33,0,1165.2
euc_subtitles_cbow_200_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.423,0.244,0.568,-0.0317352732490421,25.11,0,1172.4
euc_subtitles_cbow_200_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.473,0.34,0.609,-0.051526527829893,20.81,0,1168.7
euc_subtitles_cbow_300_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.314,0.153,0.471,0.02363773323459,33.36,0.017,1180.5
euc_subtitles_cbow_300_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.491,0.366,0.626,-0.0665475470505389,17.56,0,1168.7
euc_subtitles_cbow_300_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.445,0.278,0.583,-0.0394810279627204,25.8,0,1171.9
euc_subtitles_cbow_300_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.458,0.302,0.61,-0.0522863044668112,20.71,0,1170.6
euc_subtitles_cbow_50_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.37,0.18,0.543,-0.00401881103409246,45.92,0.001,1174.4
euc_subtitles_cbow_50_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.589,0.436,0.703,-0.0863119404037403,18.35,0,1156.3
euc_subtitles_cbow_50_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.513,0.368,0.658,-0.0432734193507676,27.83,0,1165
euc_subtitles_cbow_50_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.576,0.435,0.69,-0.0915334800646226,23.81,0,1158.1
euc_subtitles_cbow_500_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.316,0.123,0.47,0.0100782959561541,32.39,0.025,1181.2
euc_subtitles_cbow_500_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.491,0.332,0.641,-0.0603853288548014,17.61,0,1169.9
euc_subtitles_cbow_500_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.415,0.248,0.556,-0.016312808644096,25.56,0.001,1174.7
euc_subtitles_cbow_500_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.45,0.294,0.596,-0.0384818441207147,20.14,0,1172.4
euc_subtitles_conditional_probability_None_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.165,-0.356,0.045,0.0035452022339248,-224.7,0.45,1186
euc_subtitles_conditional_probability_None_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.103,-0.096,0.271,-0.0478499167663797,3652.82,0.057,1182.7
euc_subtitles_conditional_probability_None_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.202,-0.374,-0.028,-0.0243286004693544,-309.41,0.679,1186.4
euc_subtitles_conditional_probability_None_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.068,-0.244,0.13,-0.0270939291881797,824.68,0.493,1186.1
euc_subtitles_log_cooccurrence_None_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.274,-0.451,-0.085,0.113552153736293,-3.02,0.001,1174.7
euc_subtitles_log_cooccurrence_None_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.254,-0.43,-0.014,0.110935242955511,-0.71,0.031,1181.6
euc_subtitles_log_cooccurrence_None_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.25,-0.442,-0.067,0.119154937612753,-1.34,0.012,1179.8
euc_subtitles_log_cooccurrence_None_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.251,-0.464,-0.036,0.11655061873118,-0.99,0.02,1180.8
euc_subtitles_pmi_None_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.246,-0.418,-0.078,0.046381907904336,-0.68,0,1171.3
euc_subtitles_pmi_None_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.118,-0.285,0.072,0.0259437946414922,-0.62,0.003,1176.9
euc_subtitles_pmi_None_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.189,-0.333,-0.019,0.0359083868194763,-0.65,0.001,1174.5
euc_subtitles_pmi_None_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.14,-0.299,0.016,0.0298090881536952,-0.62,0.002,1176.4
euc_subtitles_ppmi_None_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.247,-0.372,-0.102,0.0415759439569708,-0.71,0,1171.1
euc_subtitles_ppmi_None_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.108,-0.262,0.073,0.0220110675393508,-0.7,0.002,1176.7
euc_subtitles_ppmi_None_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.184,-0.354,-0.033,0.0316839321717578,-0.71,0.001,1174.3
euc_subtitles_ppmi_None_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.13,-0.309,0.043,0.0257783467337275,-0.68,0.002,1176.4
euc_subtitles_probability_ratios_None_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.274,-0.376,-0.163,0.00192472841813156,0,0.531,1186.2
euc_subtitles_probability_ratios_None_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.124,-0.255,-0.005,0.00889014413570243,0,0.343,1185.7
euc_subtitles_probability_ratios_None_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.213,-0.339,-0.091,0.00630056011189468,0,0.986,1186.6
euc_subtitles_probability_ratios_None_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.171,-0.306,-0.03,0.0073440691488977,0,0.718,1186.5
euc_subtitles_skipgram_100_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.382,0.182,0.53,0.000461385337339097,76.61,0.001,1173.8
euc_subtitles_skipgram_100_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.513,0.361,0.634,-0.0861465570222475,139.59,0,1158.7
euc_subtitles_skipgram_100_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.489,0.336,0.629,-0.0384263763796698,111.1,0,1165.6
euc_subtitles_skipgram_100_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.524,0.364,0.656,-0.0853658826344172,130.23,0,1159.5
euc_subtitles_skipgram_200_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.371,0.211,0.509,0.00180719375056148,70.84,0.001,1174.9
euc_subtitles_skipgram_200_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.391,0.228,0.529,-0.0271757681094067,112.06,0,1166.1
euc_subtitles_skipgram_200_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.392,0.22,0.546,-0.0281617834396142,96.84,0,1169.9
euc_subtitles_skipgram_200_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.456,0.281,0.606,-0.0499917843674994,112.66,0,1162.5
euc_subtitles_skipgram_300_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.399,0.274,0.529,-0.0188528213259356,84.06,0,1171.3
euc_subtitles_skipgram_300_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.363,0.212,0.509,-0.0351819220266557,118.71,0,1163.7
euc_subtitles_skipgram_300_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.357,0.196,0.506,0.00419383772267338,100.11,0,1168.5
euc_subtitles_skipgram_300_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.385,0.237,0.538,-0.0201098694468969,103.23,0,1166.2
euc_subtitles_skipgram_50_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.362,0.194,0.495,0.00299943344869182,77.52,0.001,1175.4
euc_subtitles_skipgram_50_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.534,0.4,0.647,-0.0943787946314063,142.87,0,1159
euc_subtitles_skipgram_50_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.544,0.399,0.674,-0.0817720637416988,130.25,0,1157.6
euc_subtitles_skipgram_50_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.543,0.405,0.653,-0.0723474281858912,124.26,0,1159.7
euc_subtitles_skipgram_500_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.347,0.175,0.484,0.00290220227060114,64.99,0.002,1176.7
euc_subtitles_skipgram_500_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.161,-0.04,0.328,0.0088382331879268,97.56,0,1172.6
euc_subtitles_skipgram_500_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.359,0.239,0.481,-0.0266679716699545,92.09,0,1168.3
euc_subtitles_skipgram_500_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.26,0.121,0.41,-0.00991513300733788,93.81,0,1169.5
cor_subtitles_cbow_100_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.157,-0.073,0.353,0.0204465301559752,203.87,0.059,1182.8
cor_subtitles_cbow_100_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.366,0.178,0.501,-0.256467827278325,380.58,0,1170.6
cor_subtitles_cbow_100_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.314,0.102,0.524,-0.0836080841292916,258.38,0.005,1178.3
cor_subtitles_cbow_100_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.365,0.165,0.551,-0.147513185189429,300.24,0.001,1175.6
cor_subtitles_cbow_200_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.17,-0.034,0.346,0.00430652524914703,267.39,0.046,1182.3
cor_subtitles_cbow_200_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.288,0.048,0.489,-0.214703049596433,302.06,0.014,1180.1
cor_subtitles_cbow_200_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.328,0.125,0.495,-0.0857166798710349,336.91,0.004,1177.8
cor_subtitles_cbow_200_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.313,0.12,0.512,-0.159687677137812,335.78,0.004,1177.7
cor_subtitles_cbow_300_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.119,-0.1,0.32,0.0520837904284494,212.83,0.206,1184.9
cor_subtitles_cbow_300_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.273,0.064,0.46,-0.211225071009768,368.87,0.014,1180.1
cor_subtitles_cbow_300_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.341,0.164,0.516,-0.112468637748057,412.4,0.002,1176.6
cor_subtitles_cbow_300_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.306,0.104,0.501,-0.154188235932206,370.2,0.004,1177.7
cor_subtitles_cbow_50_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.207,0.005,0.399,0.0219930792359323,229.19,0.026,1181.3
cor_subtitles_cbow_50_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.376,0.188,0.552,-0.173412306078948,246.55,0.001,1174.8
cor_subtitles_cbow_50_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.426,0.274,0.571,-0.0823572861769982,267.26,0,1171
cor_subtitles_cbow_50_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.395,0.241,0.542,-0.192416742262204,237.39,0.001,1174.8
cor_subtitles_cbow_500_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.101,-0.11,0.283,0.0235122084562282,257.51,0.183,1184.7
cor_subtitles_cbow_500_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.294,0.088,0.485,-0.182944356742293,364.78,0.015,1180.3
cor_subtitles_cbow_500_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.293,0.111,0.458,-0.0574548275307362,403.46,0.009,1179.4
cor_subtitles_cbow_500_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.316,0.12,0.504,-0.126284396005517,406.77,0.005,1178.1
cor_subtitles_conditional_probability_None_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.389,-0.538,-0.226,0.00817413352390566,-123.46,0.093,1183.6
cor_subtitles_conditional_probability_None_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.035,-0.16,0.219,-0.0668457228289038,830.78,0.112,1183.9
cor_subtitles_conditional_probability_None_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.272,-0.408,-0.134,-0.0219328163119831,-102.6,0.447,1186
cor_subtitles_conditional_probability_None_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.127,-0.307,0.052,-0.0380861861262826,106.7,0.668,1186.4
cor_subtitles_log_cooccurrence_None_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.155,0.029,0.299,0.170556963446328,462.13,0.077,1183.3
