lmd,baseline,corLDMmRT,corLDMmRT_CI_lower,corLDMmRT_CI_upper,corLDM_congruent,coef.cor_dolphin_2_8_mistral_7b_v02_Q8_0_pairs,p_value,BIC
cor_meta_llama_3_1_8b_q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0,-0.237,0.216,0.0429449246544283,290.98,0.074,1182
cor_meta_llama_3_1_8b_q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.537,-0.643,-0.403,0.00561452560589222,-422.77,0,1172
cor_mistral_7b_v0_1_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.475,-0.612,-0.326,-0.00269786804934565,-529.32,0.009,1178
cor_mistral_7b_v0_1_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.598,-0.687,-0.5,0.0045086731976509,-688.84,0,1163.7
cor_Mistral_7B_v0_3_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.486,-0.605,-0.372,-0.0189678195797639,-570.27,0.007,1177.7
cor_Mistral_7B_v0_3_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.605,-0.699,-0.482,-0.00786160128890096,-676.8,0,1162.4
cos_dolphin_2_8_mistral_7b_v02_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.476,-0.603,-0.343,-0.00618165225854042,-626.1,0.01,1178.3
cos_dolphin_2_8_mistral_7b_v02_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.611,-0.7,-0.504,-0.00377276351520563,-789.22,0,1160.9
cos_Hermes_3_Llama_3_1_70B_Q5_K_M_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.281,-0.478,-0.108,0.0146565869379711,-112.21,0.541,1185
cos_Hermes_3_Llama_3_1_70B_Q5_K_M_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.589,-0.696,-0.468,-0.00102283996594867,-461.68,0,1163.6
cos_llama_2_13b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.466,-0.596,-0.327,3.63686632929276e-05,-455.28,0.015,1179.1
cos_llama_2_13b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.545,-0.647,-0.442,0.00117968947948408,-549.13,0,1171.6
cos_llama_2_70b_Q5_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.577,-0.68,-0.477,0.0514943755180125,-439.97,0,1165.8
cos_llama_2_7b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.588,-0.707,-0.421,0.0584991251711338,-802.16,0,1164.3
cos_llama_2_7b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.662,-0.751,-0.567,0.0192882796762956,-416.73,0,1149.7
cos_llama_30b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.284,-0.469,-0.089,0.0223589280574979,-49.17,0.613,1185.1
cos_llama_30b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.422,-0.553,-0.282,0.0133176774561998,-158.35,0.053,1181.4
cos_llama_65b_Q5_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.475,-0.599,-0.328,0.0655132101964997,-404.15,0.007,1177.5
cos_llama_65b_Q5_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.611,-0.697,-0.504,0.0490267314155671,-417.97,0,1160.4
cos_llama_7b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.421,-0.564,-0.244,-0.00502925277666941,-391.07,0.043,1181
cos_llama_7b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.614,-0.706,-0.52,-0.00245848498687299,-396.14,0,1160
cos_Meta_Llama_3_1_70B_Q5_K_M_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.13,-0.111,0.369,0.0447232288855597,471.25,0.014,1178.8
cos_Meta_Llama_3_1_70B_Q5_K_M_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.564,-0.668,-0.45,0.00520327302314486,-401.58,0,1168.7
cos_meta_llama_3_1_8b_q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0,-0.25,0.216,0.0430930200138572,290.87,0.074,1182
cos_meta_llama_3_1_8b_q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.537,-0.654,-0.42,0.00570807029281709,-423.16,0,1172
cos_mistral_7b_v0_1_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.474,-0.592,-0.353,-0.00276785410605936,-526.22,0.009,1178.1
cos_mistral_7b_v0_1_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.598,-0.692,-0.488,0.00445881089745147,-688.74,0,1163.8
cos_Mistral_7B_v0_3_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.485,-0.607,-0.336,-0.0191368800092343,-567.33,0.008,1177.8
cos_Mistral_7B_v0_3_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.604,-0.708,-0.501,-0.00801125466561205,-676.86,0,1162.4
euc_dolphin_2_8_mistral_7b_v02_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.407,-0.537,-0.253,-0.00344485703381734,-1.34,0.012,1178.6
euc_dolphin_2_8_mistral_7b_v02_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.589,-0.686,-0.464,-0.00137417532521029,-2.06,0,1163.6
euc_Hermes_3_Llama_3_1_70B_Q5_K_M_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.307,-0.509,-0.114,0.0183752282233146,-0.9,0.383,1184.6
euc_Hermes_3_Llama_3_1_70B_Q5_K_M_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.607,-0.691,-0.506,0.00162620671192746,-2.5,0,1159.9
euc_llama_2_13b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.4,-0.543,-0.229,0.00459445844735462,-3.72,0.14,1183
euc_llama_2_13b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.496,-0.608,-0.349,0.00535478022418365,-6.03,0.007,1177.6
euc_llama_2_70b_Q5_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.519,-0.642,-0.371,0.0533892464769765,-2.59,0,1172
euc_llama_2_7b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.528,-0.639,-0.375,0.0493369209491265,-3.77,0.001,1173.2
euc_llama_2_7b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.541,-0.662,-0.392,0.0408993257873489,-3.69,0,1171.2
euc_llama_30b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.264,-0.463,-0.036,0.0198938847538411,-0.24,0.831,1185.3
euc_llama_30b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.354,-0.528,-0.179,0.0141407571673085,-1.15,0.256,1184
euc_llama_65b_Q5_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.454,-0.606,-0.292,0.060651339961893,-2.63,0.014,1178.9
euc_llama_65b_Q5_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.553,-0.673,-0.403,0.0602476223287592,-3.14,0,1169.7
euc_llama_7b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.515,-0.62,-0.402,0.00188322017003122,-3.53,0.003,1175.6
euc_llama_7b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.493,-0.615,-0.376,0.00473792975991518,-3.37,0.006,1177.2
euc_Meta_Llama_3_1_70B_Q5_K_M_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.054,-0.15,0.242,0.0402684001603709,2.28,0.04,1180.8
euc_Meta_Llama_3_1_70B_Q5_K_M_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.593,-0.69,-0.495,0.00553874122591378,-2.41,0,1163.6
euc_meta_llama_3_1_8b_q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.015,-0.172,0.242,0.0341750233098022,1.96,0.06,1181.6
euc_meta_llama_3_1_8b_q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.49,-0.638,-0.33,0.00703638477856265,-2.56,0.005,1177.1
euc_mistral_7b_v0_1_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.42,-0.559,-0.307,-0.00144194435026209,-1.28,0.008,1177.8
euc_mistral_7b_v0_1_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.606,-0.704,-0.51,0.00390072325788474,-1.99,0,1160.7
euc_Mistral_7B_v0_3_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.376,-0.514,-0.252,-0.0122112716072418,-1.12,0.037,1180.7
euc_Mistral_7B_v0_3_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.581,-0.68,-0.47,-0.00523989077509667,-1.92,0,1165
cor_dolphin_2_8_mistral_7b_v02_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.478,-0.609,-0.346,-0.00588727655120303,-582.74,0.014,1176.3
cor_dolphin_2_8_mistral_7b_v02_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.611,-0.701,-0.493,-0.00355670580612652,-755.6,0,1161
cor_Hermes_3_Llama_3_1_70B_Q5_K_M_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.281,-0.465,-0.087,0.0146537100773525,-50.22,0.786,1182.7
cor_Hermes_3_Llama_3_1_70B_Q5_K_M_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.589,-0.691,-0.464,-0.00103065472011319,-449.29,0,1163.8
cor_llama_2_13b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.466,-0.593,-0.338,-2.44247265447392e-05,-404.54,0.036,1178
cor_llama_2_13b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.545,-0.665,-0.404,0.00113910081185626,-528.52,0.001,1171.5
cor_llama_2_70b_Q5_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.578,-0.672,-0.458,0.0515115927652139,-403.13,0,1164.7
cor_llama_2_7b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.588,-0.713,-0.435,0.0585035139716599,-762.81,0,1163.7
cor_llama_2_7b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.662,-0.738,-0.569,0.0192982812460509,-399.29,0,1149.9
cor_llama_30b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.284,-0.504,-0.058,0.0223882865534838,-47.28,0.611,1182.5
cor_llama_30b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.422,-0.573,-0.253,0.0133476648577421,-143.24,0.069,1179.2
cor_llama_65b_Q5_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.475,-0.601,-0.332,0.0655212525340614,-373.43,0.011,1175.9
cor_llama_65b_Q5_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.611,-0.693,-0.52,0.0490358571880386,-388.25,0,1159.9
cor_llama_7b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.421,-0.543,-0.265,-0.00504395407830899,-347.47,0.072,1179.3
cor_llama_7b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.614,-0.705,-0.493,-0.00243142655818797,-377.25,0,1160
cor_Meta_Llama_3_1_70B_Q5_K_M_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,0.13,-0.097,0.343,0.0448149979878549,406.11,0.029,1177.6
cor_Meta_Llama_3_1_70B_Q5_K_M_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.564,-0.667,-0.445,0.00520812194343023,-367.49,0,1168.1
cor_meta_llama_3_1_8b_q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,0,-0.229,0.205,0.0429449246544283,257.31,0.107,1180
cor_meta_llama_3_1_8b_q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.537,-0.649,-0.434,0.00561452560589222,-387.37,0.001,1170.9
cor_mistral_7b_v0_1_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.475,-0.581,-0.345,-0.00269786804934565,-492.19,0.013,1176.2
cor_mistral_7b_v0_1_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.598,-0.691,-0.49,0.0045086731976509,-660.86,0,1163.6
cor_Mistral_7B_v0_3_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.486,-0.621,-0.349,-0.0189678195797639,-521.33,0.015,1176.4
cor_Mistral_7B_v0_3_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.605,-0.698,-0.494,-0.00786160128890096,-658.21,0,1162.4
cos_dolphin_2_8_mistral_7b_v02_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.476,-0.597,-0.329,-0.00618165225854042,-577.54,0.015,1176.5
cos_dolphin_2_8_mistral_7b_v02_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.611,-0.696,-0.506,-0.00377276351520563,-755.63,0,1161.2
cos_Hermes_3_Llama_3_1_70B_Q5_K_M_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.281,-0.476,-0.078,0.0146565869379711,-50.38,0.786,1182.7
cos_Hermes_3_Llama_3_1_70B_Q5_K_M_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.589,-0.695,-0.463,-0.00102283996594867,-449.27,0,1163.8
cos_llama_2_13b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.466,-0.59,-0.315,3.63686632929276e-05,-405.76,0.035,1178
cos_llama_2_13b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.545,-0.666,-0.413,0.00117968947948408,-529.36,0.001,1171.4
cos_llama_2_70b_Q5_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.577,-0.671,-0.466,0.0514943755180125,-402.85,0,1164.8
cos_llama_2_7b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.588,-0.698,-0.476,0.0584991251711338,-762.83,0,1163.7
cos_llama_2_7b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.662,-0.738,-0.561,0.0192882796762956,-399.32,0,1149.9
cos_llama_30b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.284,-0.474,-0.079,0.0223589280574979,-47.3,0.611,1182.5
cos_llama_30b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.422,-0.578,-0.251,0.0133176774561998,-143.23,0.069,1179.2
cos_llama_65b_Q5_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.475,-0.61,-0.31,0.0655132101964997,-373.47,0.011,1175.9
cos_llama_65b_Q5_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.611,-0.709,-0.5,0.0490267314155671,-388.28,0,1159.9
cos_llama_7b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.421,-0.554,-0.259,-0.00502925277666941,-347.86,0.072,1179.3
cos_llama_7b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.614,-0.702,-0.498,-0.00245848498687299,-377.38,0,1160
cos_Meta_Llama_3_1_70B_Q5_K_M_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,0.13,-0.074,0.347,0.0447232288855597,405.43,0.029,1177.7
cos_Meta_Llama_3_1_70B_Q5_K_M_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.564,-0.653,-0.449,0.00520327302314486,-367.45,0,1168.1
cos_meta_llama_3_1_8b_q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,0,-0.236,0.193,0.0430930200138572,257.11,0.107,1180
cos_meta_llama_3_1_8b_q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.537,-0.64,-0.419,0.00570807029281709,-387.72,0.001,1170.8
cos_mistral_7b_v0_1_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.474,-0.595,-0.35,-0.00276785410605936,-489.07,0.014,1176.3
cos_mistral_7b_v0_1_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.598,-0.699,-0.5,0.00445881089745147,-660.62,0,1163.7
cos_Mistral_7B_v0_3_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.485,-0.596,-0.381,-0.0191368800092343,-518.16,0.016,1176.5
cos_Mistral_7B_v0_3_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.604,-0.685,-0.518,-0.00801125466561205,-658.21,0,1162.5
euc_dolphin_2_8_mistral_7b_v02_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.407,-0.544,-0.256,-0.00344485703381734,-1.25,0.019,1176.9
euc_dolphin_2_8_mistral_7b_v02_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.589,-0.677,-0.492,-0.00137417532521029,-2.01,0,1163.5
euc_Hermes_3_Llama_3_1_70B_Q5_K_M_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.307,-0.472,-0.121,0.0183752282233146,-0.58,0.577,1182.4
euc_Hermes_3_Llama_3_1_70B_Q5_K_M_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.607,-0.687,-0.512,0.00162620671192746,-2.4,0,1160.4
euc_llama_2_13b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.4,-0.535,-0.255,0.00459445844735462,-3.09,0.222,1181.2
euc_llama_2_13b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.496,-0.622,-0.363,0.00535478022418365,-5.46,0.019,1176.8
euc_llama_2_70b_Q5_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.519,-0.637,-0.37,0.0533892464769765,-2.41,0.001,1169.9
euc_llama_2_7b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.528,-0.662,-0.378,0.0493369209491265,-3.47,0.001,1171.5
euc_llama_2_7b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.541,-0.656,-0.421,0.0408993257873489,-3.4,0.001,1169.9
euc_llama_30b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.264,-0.477,-0.033,0.0198938847538411,-0.21,0.849,1182.7
euc_llama_30b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.354,-0.533,-0.163,0.0141407571673085,-1.01,0.306,1181.6
euc_llama_65b_Q5_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.454,-0.588,-0.298,0.060651339961893,-2.42,0.02,1177
euc_llama_65b_Q5_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.553,-0.665,-0.437,0.0602476223287592,-2.9,0,1168.5
euc_llama_7b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.515,-0.612,-0.393,0.00188322017003122,-3.21,0.005,1174.1
euc_llama_7b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.493,-0.632,-0.379,0.00473792975991518,-3.05,0.009,1175.5
euc_Meta_Llama_3_1_70B_Q5_K_M_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,0.054,-0.162,0.256,0.0402684001603709,1.9,0.074,1179.3
euc_Meta_Llama_3_1_70B_Q5_K_M_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.593,-0.687,-0.505,0.00553874122591378,-2.19,0,1163.7
euc_meta_llama_3_1_8b_q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,0.015,-0.211,0.224,0.0341750233098022,1.76,0.084,1179.6
euc_meta_llama_3_1_8b_q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.49,-0.622,-0.348,0.00703638477856265,-2.34,0.009,1175.4
euc_mistral_7b_v0_1_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.42,-0.55,-0.278,-0.00144194435026209,-1.19,0.014,1176.2
euc_mistral_7b_v0_1_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.606,-0.703,-0.495,0.00390072325788474,-1.97,0,1160.7
euc_Mistral_7B_v0_3_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.376,-0.519,-0.215,-0.0122112716072418,-0.99,0.064,1179.1
euc_Mistral_7B_v0_3_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.581,-0.685,-0.451,-0.00523989077509667,-1.89,0,1165
cor_dolphin_2_8_mistral_7b_v02_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logUKWAC,-0.478,-0.592,-0.338,-0.00588727655120303,-601.88,0.007,1174.3
cor_dolphin_2_8_mistral_7b_v02_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logUKWAC,-0.611,-0.705,-0.525,-0.00355670580612652,-713.11,0,1161
cor_Hermes_3_Llama_3_1_70B_Q5_K_M_pairs,m_RT ~ country + Letters_n + Syllables_n+ logUKWAC,-0.281,-0.468,-0.098,0.0146537100773525,16.69,0.932,1182.1
cor_Hermes_3_Llama_3_1_70B_Q5_K_M_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logUKWAC,-0.589,-0.684,-0.463,-0.00103065472011319,-487.22,0,1163.4
cor_llama_2_13b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logUKWAC,-0.466,-0.588,-0.323,-2.44247265447392e-05,-406.3,0.028,1177
cor_llama_2_13b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logUKWAC,-0.545,-0.655,-0.421,0.00113910081185626,-507.54,0.001,1171
cor_llama_2_70b_Q5_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logUKWAC,-0.578,-0.671,-0.452,0.0515115927652139,-416.23,0,1165.4
cor_llama_2_7b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logUKWAC,-0.588,-0.711,-0.426,0.0585035139716599,-754.31,0,1163.5
